#Ke Fang and Brian D. Metzger 2017 ApJ 849 153, https://doi.org/10.3847/1538-4357/aa8b6a
#BNS merger fluence from Fig.4, for 1e5.5 -- 1e6.5 sec
##Energy [GeV],   Fluence [GeV cm^-2] (All flavors)

369239.10729495314, 0.010464942395675313
471060.75419832685, 0.013955224970987615
642232.5422229343, 0.01977209240989114
875603.9101412345, 0.02636650898730362
1193776.6417144358, 0.0373566928019433
1701254.2798525856, 0.05292784485692642
2319447.8660758203, 0.0738619982207937
3233072.0612452044, 0.10464942395675292
4607459.627762563, 0.14384498882876637
6281696.115744871, 0.2007389180054632
8564308.594870234, 0.2676896494295611
12205019.047848472, 0.3792690190732252
17393405.23618779, 0.5292784485692636
25342307.35791306, 0.7386199822079362
36923910.72949531, 1.046494239567528
46074596.27762563, 1.2742749857031335
65661030.18837678, 1.6992730039047417
93573709.45630178, 2.231948711017632
142510267.03029963, 3.1147346385956816
221898234.14589742, 3.909356382652734
337945100.02247363, 4.281332398719389
526203637.7863344, 3.909356382652734
733473817.0816785, 3.1622776601683777
895206190.8580012, 2.4443190626370175
1117061086.2750628, 1.8329807108324347
1304321386.7190042, 1.3745416208713321
1627565448.0267544, 0.9131167633286497
1858791891.1465597, 0.6744462874835755
2122868422.1461933, 0.49815950486132715
2319447866.07582, 0.36795056461738795
2590964952.837032, 0.2557965818714741
2830890538.5946875, 0.1575318673423516
3025305457.102461, 0.1078685241641837
3093033440.1975937, 0.0749894209332457
3233072061.245211, 0.05134832907437557
3455107294.592232, 0.03569698846826072
3532457318.1710534, 0.025195082772935067
3859565907.6940765, 0.01751544004284183
4124626382.901365, 0.012937254012808
4311370885.398944, 0.010152639075520532
